Enhancer_ID	chr	start	end	center	FANTOM5	associated_gene-FANTOM5	associated_gene-50Kb	associated_gene-4DGenome	Cell/Tissue	Detection_method	PMID	closest_gene	distance
1	chr1	102065082	102069120	102068732	N	NA	NA	NA	NA	NA	NA	DPH5	573720
2	chr1	106239019	106240959	106240580	N	NA	NA	NA	NA	NA	NA	PRMT6	1358308
3	chr1	110374604	110421703	110420220,110375817	N,N	NA;NA	NA	CSF1,AHCYL1,GSTM2,GSTM4,GNAI3,EPS8L3,CYB561D1,ATXN7L2	IMR90,K562	Hi-C,ChIA-PET	24141950,22265404	AHCYL1	105684
4	chr1	113349426	113380069	113368334,113376925,113352382	N,N,N	NA;NA;NA	NA	FAM19A3,RHOC,PPM1J,AKR7A2P1,SLC16A1,LRIG2	IMR90,MCF7	Hi-C,ChIA-PET	24141950,22265404	RHOC	99401
5	chr1	113390752	113422679	113396678,113393155	N,N	NA;NA	NA	FAM19A3,PPM1J,SLC16A1,LRIG2,RHOC,AKR7A2P1,MOV10	IMR90,K562	Hi-C,ChIA-PET	24141950,22265404	SLC16A1	76296
6	chr1	113584958	113588224	113585970	N	NA	LRIG2	SLC16A1,AKR7A2P1,RHOC,PPM1J,FAM19A3,LRIG2	IMR90,K562	Hi-C,ChIA-PET	24141950,22265404	LRIG2	27607
7	chr1	114570056	114582859	114576089,114581129,114572450	Y,N,N	NA;NA;NA	OLFML3	SYT6,OLFML3	IMR90	Hi-C	24141950	OLFML3	48026
8	chr1	114887776	114889985	114888825	N	NA	NA	SYT6,OLFML3,HIPK1,BCAS2,DENND2C,TRIM33,CSDE1	IMR90,MCF7	Hi-C,ChIA-PET	24141950,22265404	BCAS2	234280
9	chr1	117253679	117258501	117254883,117257149	N,N	NA;NA	NA	IGSF3,CD101,TTF2	MCF7,IMR90	ChIA-PET,Hi-C	22265404,24141950	ATP1A1	337884
10	chr1	117420138	117424967	117421294	N	NA	NA	PTGFRN,TTF2	MCF7	ChIA-PET	22265404	TTF2	177982
11	chr1	118319103	118321603	118320333	N	NA	NA	NA	NA	NA	NA	WDR3	150769
