chr10	71396243	71397043
chr10	98309243	98309643
chr10	102917643	102918843
chr10	117216289	117217689
chr10	131983096	131984896
chr11	69685032	69685632
chr11	69717232	69717832
chr11	69717832	69718832
chr11	111601276	111601676
chr11	111604276	111604676
chr11	119482089	119482889
chr11	133083105	133083705
chr12	52873816	52874816
chr12	57453017	57454417
chr12	121773094	121773894
chr12	121773894	121774294
chr13	30803063	30803463
chr13	45046665	45047465
chr14	21106441	21107641
chr14	81434256	81434656
chr14	100901063	100901463
chr14	103105863	103107663
chr15	66852262	66852862
chr15	68575261	68576261
chr15	68577661	68578661
chr16	84278594	84279594
chr17	36936101	36936701
chr17	64130640	64131040
chr19	2611002	2611402
chr19	4792188	4792788
chr19	29527693	29528093
chr19	44720137	44721337
chr1	20152107	20152507
chr1	22132507	22133507
chr1	22207707	22209707
chr1	22350307	22350707
chr1	25895709	25896109
chr1	31548599	31548999
chr1	31789399	31789799
chr1	47997728	47998128
chr1	154760324	154761124
chr1	182143465	182144465
chr1	201259072	201259472
chr1	203507072	203509072
chr1	206583268	206583868
chr1	225771698	225773098
chr20	34872397	34872997
chr20	34873597	34873997
chr20	34873997	34874397
chr20	36435997	36436397
chr20	37896998	37897398
chr20	46307161	46309161
chr20	62495344	62496544
chr20	62496744	62497144
chr21	38809276	38809876
chr22	35431007	35431407
chr22	46152897	46154697
chr2	10835074	10835474
chr2	25130131	25131331
chr2	25131331	25132531
chr2	25132531	25132931
chr2	27250332	27250732
chr2	42043060	42043460
chr2	85132477	85132877
chr2	85237877	85238677
chr2	96143661	96144061
chr2	120665224	120666224
chr2	120668224	120669424
chr2	170819290	170819690
chr2	217947477	217948677
chr3	9302116	9302516
chr3	10512116	10512516
chr3	50545769	50546169
chr3	122952553	122953153
chr3	128431757	128432157
chr3	128432157	128433557
chr4	1512873	1513473
chr4	8242473	8242873
chr5	170743996	170744596
chr6	6726167	6728167
chr6	6728167	6728767
chr6	34461623	34462023
chr6	34462023	34462823
chr6	89432881	89433481
chr6	90297481	90297881
chr7	98755067	98757467
chr8	102813972	102814772
chr9	121698321	121698721
