chr10	73156000	73156800
chr10	100069000	100069400
chr10	104677400	104678600
chr10	118975800	118977200
chr10	133796600	133798400
chr11	69499800	69500400
chr11	69532000	69532600
chr11	69532600	69533600
chr11	111472000	111472400
chr11	111475000	111475400
chr11	119352800	119353600
chr11	132953000	132953600
chr12	53267600	53268600
chr12	57846800	57848200
chr12	122211000	122211800
chr12	122211800	122212200
chr13	31377200	31377600
chr13	45620800	45621600
chr14	21574600	21575800
chr14	81900600	81901000
chr14	101367400	101367800
chr14	103572200	103574000
chr15	67144600	67145200
chr15	68867600	68868600
chr15	68870000	68871000
chr16	84312200	84313200
chr17	35293400	35294000
chr17	62208000	62208400
chr19	2611000	2611400
chr19	4792200	4792800
chr19	30018600	30019000
chr19	45223400	45224600
chr1	20478600	20479000
chr1	22459000	22460000
chr1	22534200	22536200
chr1	22676800	22677200
chr1	26222200	26222600
chr1	32014200	32014600
chr1	32255000	32255400
chr1	48463400	48463800
chr1	154732800	154733600
chr1	182112600	182113600
chr1	201228200	201228600
chr1	203476200	203478200
chr1	206756600	206757200
chr1	225959400	225960800
chr20	33460200	33460800
chr20	33461400	33461800
chr20	33461800	33462200
chr20	35064400	35064800
chr20	36525400	36525800
chr20	44935800	44937800
chr20	61070400	61071600
chr20	61071800	61072200
chr21	40181200	40181800
chr22	35827000	35827400
chr22	46548800	46550600
chr2	10975200	10975600
chr2	25353000	25354200
chr2	25354200	25355400
chr2	25355400	25355800
chr2	27473200	27473600
chr2	42270200	42270600
chr2	85359600	85360000
chr2	85465000	85465800
chr2	96809400	96809800
chr2	121422800	121423800
chr2	121425800	121427000
chr2	171675800	171676200
chr2	218812200	218813400
chr3	9343800	9344200
chr3	10553800	10554200
chr3	50583200	50583600
chr3	122671400	122672000
chr3	128150600	128151000
chr3	128151000	128152400
chr4	1514600	1515200
chr4	8244200	8244600
chr5	170171000	170171600
chr6	6726400	6728400
chr6	6728400	6729000
chr6	34429400	34429800
chr6	34429800	34430600
chr6	90142600	90143200
chr6	91007200	91007600
chr7	98384400	98386800
chr8	103826200	103827000
chr9	124460600	124461000
